,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
372,"Duitku PG, Kebon Jeruk",2025-10-08,46.25,-6.1916,106.7588,IQAir,48.605347,55.05478770914041,48.22631455522956
373,"Duitku PG, Kebon Jeruk",2025-10-08,46.25,-6.1916,106.7588,IQAir,48.21351,54.60862345273521,48.99652405946523
374,"Duitku PG, Kebon Jeruk",2025-10-08,46.25,-6.1916,106.7588,IQAir,48.21351,54.60862345273521,48.99652405946523
375,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-10-08,47.46111111111111,-6.2356,106.8278,IQAir,50.484627,53.97122886309821,52.48770361683282
376,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-10-08,47.46111111111111,-6.2356,106.8278,IQAir,50.084637,53.7464654191538,52.46052762842388
377,Gading Harmony,2025-10-08,35.9125,-6.1656,106.8995,IQAir,47.49601,41.67750497395492,41.95618892578683
378,Gading Harmony,2025-10-08,35.9125,-6.1656,106.8995,IQAir,47.279564,41.61231755333742,41.981799609428265
379,Graha LMU,2025-10-08,54.333333333333336,-6.1839,106.9227,IQAir,55.757214,56.22548985608361,54.77685581735458
380,Graha LMU,2025-10-08,54.333333333333336,-6.1839,106.9227,IQAir,55.757214,56.22548985608361,54.77685581735458
381,Graha LMU,2025-10-08,54.333333333333336,-6.1839,106.9227,IQAir,55.670986,56.256232602698695,54.91071710023308
382,Graha LMU,2025-10-08,54.333333333333336,-6.1839,106.9227,IQAir,55.670986,56.256232602698695,54.91071710023308
383,Gran Melia Jakarta,2025-10-08,60.291666666666664,-6.2348,106.83,IQAir,50.484627,53.97122886309821,52.48770361683282
